symbol,ldcp,open,high,low,close,change,percent_change,volume,market_cap,company,sector,downloaded_at_utc,market_state,market_state_at_karachi
EFERT,194.11,194.0,196.4,192.0,195.27,1.16,0.5975992993663386,706971.0,260743908956.25,Engro Fertilizers Limited,FERTILIZER,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
ENGROH,265.12,265.0,265.75,263.0,264.93,-0.19,-0.07166566083283042,590558.0,319037182170.42,Engro Holdings Limited,INV. BANKS / SECURITIES,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
FABL,93.99,94.49,94.49,92.5,94.16,0.17,0.18087030535163318,250930.0,142906304888.16,Faysal Bank Limited,COMMERCIAL BANKS,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
FATIMA,144.31,144.31,145.55,141.3,145.04,0.73,0.50585545007276,440567.0,304584000000.0,Fatima Fertilizer Company Limited,FERTILIZER,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
FCCL,53.45,53.5,54.4,53.06,54.0,0.55,1.028999064546305,1043602.0,132453749880.0,Fauji Cement Company Limited,CEMENT,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
FFC,541.62,541.6,543.98,538.1,540.26,-1.36,-0.25109855618330196,450075.0,777446707528.12,Fauji Fertilizer Company Limited,FERTILIZER,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
FFL,15.0,15.0,15.19,14.8,15.09,0.09,0.6,2007659.0,38026243767.51,Fauji Foods Limited,FOOD & PERSONAL CARE,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
FHAM,31.0,31.01,31.01,30.0,30.83,-0.17,-0.5483870967741936,42201.0,3416904315.0,First Habib Modaraba,MODARABAS,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
GADT,293.79,296.4,297.0,295.0,295.17,1.38,0.46972327172470124,1092.0,8273492014.110001,Gadoon Textile Mills Limited,TEXTILE SPINNING,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
GAL,545.9200000000001,545.99,549.79,538.01,540.6,-5.32,-0.9745017584994138,301192.0,30815551500.0,Ghandhara Automobiles Limited,AUTO ASSEMBLER,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
